Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter
13778,ingodite,Noun,"A trigonal-hexagonal scalenohedral silver white mineral containing bismuth, sulfur, and tellurium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
14868,innelite,Noun,"A triclinic-pedial mineral containing barium, calcium, fluorine, hydrogen, magnesium, oxygen, potassium, silicon, sodium, sulfur, and titanium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
16152,insizwaite,Noun,"An isometric-diploidal tin white mineral containing antimony, bismuth, and platinum.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
20976,intersilite,Noun,"A monoclinic-prismatic mineral containing hydrogen, manganese, oxygen, silicon, sodium, and titanium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
24496,inyoite,Noun,A colourless monoclinic mineral with the chemical formula Ca(H4B3O7)(OH)4H2O., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
24520,iodargyrite,Noun,A natural mineral form of silver iodide., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
24755,iodyrite,Noun,silver iodide, mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
24954,iowaite,Noun,"A trigonal-hexagonal scalenohedral mineral containing chlorine, hydrogen, iron, magnesium, and oxygen.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
25047,iquiqueite,Noun,"A trigonal-ditrigonal pyramidal yellow mineral containing boron, chromium, hydrogen, magnesium, oxygen, potassium, and sodium", mineralogy,"1996, Mineralogical Magazine, Volume 60, Pages 1-540, page 527, Carlos ruizite. [] As platy crystals, up to 200 m, in iquiqueite found within yellow nitrate ore samples of mainly nitratine, halite and darapskite from the Zapiga district, Tarapac Province, Chile.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
25057,iranite,Noun,"A triclinic-pedial mineral containing chromium, copper, fluorine, hydrogen, lead, oxygen, and silicon.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
25058,iraqite,Noun,A greenish-yellow radioactive mineral., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
25059,irarsite,Noun,"An isometric-diploidal iron black mineral containing arsenic, iridium, platinum, rhodium, ruthenium, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
25105,irhtemite,Noun,"A monoclinic mineral containing arsenic, calcium, hydrogen, magnesium, and oxygen.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
25112,iridarsenite,Noun,"A monoclinic-prismatic gray mineral containing arsenic, iridium, and ruthenium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
25238,iriginite,Noun,"An orthorhombic-dipyramidal canary yellow mineral containing hydrogen, molybdenum, oxygen, and uranium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
26131,irtyshite,Noun,"A hexagonal mineral containing sodium, tantalum, niobium, and oxygen.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
26693,isocubanite,Noun,"An isometric-hexoctahedral bronze mineral containing copper, iron, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
27053,isokite,Noun,"A monoclinic-prismatic mineral containing calcium, fluorine, magnesium, oxygen, and phosphorus.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
27153,isolueshite,Noun,A brownish-black mineral comprising mostly niobium and lanthanum., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
27230,isomertieite,Noun,"An isometric-hexoctahedral silver white mineral containing antimony, arsenic, and palladium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
27914,isovite,Noun,"An isometric-hexoctahedral iron gray mineral containing carbon, chromium, and iron.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
28057,itabirite,Noun,A laminated form of quarzite with muscovite or other iron minerals, mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
28062,itacolumite,Noun,A porous yellow sandstone that is flexible when cut into thin strips., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
28291,itoigawaite,Noun,"An orthorhombic-dipyramidal blue mineral containing aluminum, hydrogen, oxygen, silicon, and strontium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
28292,itoite,Noun,"An orthorhombic-dipyramidal silky white mineral containing germanium, hydrogen, lead, oxygen, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
28314,ittnerite,Noun,"A dark blue or grey mineral, consisting chiefly of silica, alumina, potash, and soda.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
28398,iwakiite,Noun,"A tetragonal-ditetragonal dipyramidal greenish black mineral containing iron, manganese, and oxygen.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
28411,ixiolite,Noun,"A monoclinic-prismatic mineral containing iron, manganese, niobium, oxygen, tantalum, and tin.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
28473,izoklakeite,Noun,"An orthorhombic-dipyramidal lead gray mineral containing antimony, bismuth, copper, iron, lead, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
187,dachiardite,Noun,A particular zeolite mineral., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
429,dadsonite,Noun,"A monoclinic mineral containing antimony, chlorine, lead, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
649,dahllite,Noun,A form of calcium phosphate that has a structure similar to that of the mineral part of bones and teeth, mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1005,dalyite,Noun,"A triclinic-pinacoidal colorless mineral containing aluminum, iron, magnesium, oxygen, potassium, silicon, sodium, titanium, and zirconium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1055,damaraite,Noun,"An orthorhombic-pyramidal colorless mineral containing chlorine, hydrogen, lead, and oxygen.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1155,damiaoite,Noun,An isometric-hexoctahedral bright white mineral containing indium and platinum., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1261,damourite,Noun,"A kind of muscovite, or potash mica, containing water.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1405,danaite,Noun,A cobaltiferous variety of arsenopyrite., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1406,danalite,Noun,"An isometric-hextetrahedral mineral containing beryllium, iron, oxygen, silicon, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1410,danbaite,Noun,An isometric mineral containing copper and zinc., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1413,danburite,Noun,A crystalline mineral similar to topaz., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1791,danielsite,Noun,"An orthorhombic gray mineral containing copper, mercury, silver, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1876,daomanite,Noun,"An orthorhombic-pyramidal light greenish yellow mineral containing arsenic, copper, platinum, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1947,daqingshanite,Noun,"A trigonal mineral comprising mostly strontium, cerium, and oxygen.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1957,darapiosite,Noun,"A hexagonal-dihexagonal dipyramidal mineral containing lithium, manganese, oxygen, potassium, silicon, sodium, and zirconium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1959,darapskite,Noun,"A monoclinic-prismatic colorless mineral containing hydrogen, nitrogen, oxygen, sodium, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
2506,dashkovaite,Noun,"A monoclinic-prismatic white mineral containing carbon, hydrogen, magnesium, and oxygen.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
2983,datolite,Noun,"A borosilicate of lime commonly occurring in glassy, greenish crystals, with the chemical formula CaBSiO4(OH).", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
3051,daubreeite,Noun,A rare bismuth oxidehalide mineral of the matlockite group., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
3052,daubreelite,Noun,A sulphide of chromium observed in some meteoric irons., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
3187,davanite,Noun,"A triclinic-pinacoidal colorless mineral containing oxygen, potassium, silicon, and titanium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
3202,davidite,Noun,A particular mineral., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
3209,davreuxite,Noun,"A monoclinic-prismatic mineral containing aluminum, hydrogen, manganese, oxygen, and silicon.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
3214,davyne,Noun,"A hexagonal-dipyramidal mineral containing aluminum, calcium, chlorine, oxygen, potassium, silicon, sodium, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
3311,dawsonite,Noun,An orthorhombic mineral composed of sodium aluminium carbonate hydroxide., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
5010,deanesmithite,Noun,"A triclinic-pinacoidal orange red mineral containing chromium, mercury, oxygen, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
8314,decrepitation,Noun,"The shattering of minerals by the action of heat, especially when accompanied by a crackling sound", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
9142,deerite,Noun,"A monoclinic-prismatic black mineral containing aluminum, hydrogen, iron, manganese, oxygen, and silicon.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
9696,defernite,Noun,"An orthorhombic-dipyramidal mineral containing calcium, carbon, chlorine, hydrogen, oxygen, and silicon.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
11652,delafossite,Noun,A mixed oxide mineral of copper and iron., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
11847,delessite,Noun,A magnesium-rich form of chamosite that is a member of the chlorite group, mineralogy,"1905, B. K. Emerson, Plumose diabase and palagonite from the Holyoke trap sheet, in Bulletin of the Geological Society of America[1], volume 16, page 105:Several delessites and chloropals occurring in basalts have a composition very close to that of the glass.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
11919,delhayelite,Noun,"An orthorhombic-dipyramidal mineral containing aluminum, calcium, chlorine, fluorine, hydrogen, oxygen, potassium, silicon, sodium, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
12028,deliensite,Noun,"An orthorhombic mineral containing hydrogen, iron, oxygen, sulfur, and uranium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
12110,delindeite,Noun,"A monoclinic-prismatic gray pink mineral containing aluminum, barium, hydrogen, iron, oxygen, potassium, silicon, sodium, and titanium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
12339,dellaite,Noun,"A triclinic-pinacoidal colorless mineral containing calcium, hydrogen, oxygen, and silicon.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
12340,dellaventuraite,Noun,"A monoclinic-prismatic pinkish red mineral containing aluminum, calcium, hydrogen, iron, lithium, magnesium, manganese, nickel, oxygen, potassium, silicon, sodium, titanium, and zinc.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
12390,deloryite,Noun,"A monoclinic-prismatic mineral containing copper, hydrogen, molybdenum, oxygen, and uranium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
12433,delrioite,Noun,"A monoclinic-prismatic mineral containing calcium, hydrogen, oxygen, strontium, and vanadium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
12625,delvauxite,Noun,"A yellow or brown amorphous mineral, sometimes forming a botryoidal mass or stalactites.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
