Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body
6171,implantology,Noun,The science of or techniques involved in dental implants,True,"2015 December 15, Antibacterial Peptide-Based Gel for Prevention of Medical Implanted-Device Infection, in PLOS ONE[1], DOI:10.1371/journal.pone.0145143:In oral implantology, bacteria are present in dental plaque and along with in the microgap between implant and prosthesis screws on implants.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
12191,infectiology,Noun,"The study of infection 2015 September 24, Individual Monitoring of Immune Response in Atlantic Salmon Salmo salar following Experimental Infection with Infectious Salmon Anaemia Virus (ISAV), in PLOS ONE[1], DOI:10.1371/journal.pone.0137767:We describe here a novel approach to infectiology for salmonid fish where blood samples are collected repeatedly in a small group of PIT-tagged animals.",True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
13095,information management,Noun,"the study of the acquisition of information from one or more sources, the custodianship and the distribution of that information to those who need it, and its ultimate disposition through archiving or deletion.",True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
13102,information retrieval,Noun,"The science of searching for information in documents, searching for documents themselves, searching for metadata which describe documents, or searching within databases, whether relational stand-alone databases or hypertextually-networked databases such as the World Wide Web.",True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
13190,informetrics,Noun,The study of quantitative aspects of information,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
17489,integumation,Noun,The branch of physiology that deals with the integuments of animals and plants.,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
17893,interactionism,Noun,The branch of sociology that studies interaction between individuals or groups,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
17914,interactomics,Noun,The study of the interactions between proteins and other components of a cell,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
18974,interferomics,Noun,The study of interferomes,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
19507,interlinguistics,Noun,"The study of international communication, focused especially on planned international auxiliary languages and having e.g",True,Esperanto and Interlingua as a chief applied product.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
