Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units
13799,osmole,Noun,"A unit of measurement, a mole of an osmotically active compound", chemistry,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
3146,bag,Noun,A unit of measure of cement equal to 94 pounds., Britain,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
8729,base unit,Noun,A unit of measurement on which others are based,,"The SI unit of velocity is metres per second, derived from the base units of time and distance.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
19472,hin,Noun,A former Hebrew liquid measure of volume (about 3.8 L), historical units of measure,"Bible (NIV), Exodus 30:24: 500 shekels of cassia all according to the sanctuary shekel and a hin of olive oil.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
19473,hin,Noun,An Ancient Egyptian liquid measure of volume (about 0.48 L), historical units of measure,"1997, Helaine Selin, Encyclopaedia of the History of Science, Technology, and Medicine in Non-Westen Cultures: The hin for liquids was subdivided dimidially down to 132 = 1 ro.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
23545,homer,Noun,"A former Hebrew unit of dry volume, about equal to 230L or 6bushels", historical units of measure,"1769, Bible (KJV), Ezekiel, 45:11: The ephah and the bath shall be of one measure, that the bath may contain the tenth part of an homer, and the ephah the tenth part of an homer: the measure thereof shall be after the homer. 1922, James Joyce, Ulysses:Head up! For every newbegotten thou shalt gather thy homer of ripe wheat.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
26134,hoppus,Noun,"A unit of measure of volume equal to 1.273 cubic feet or 2,200 cubic inches",,Used in the British Empire as a measure of lumber.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
26136,hoppus foot,Noun,"A unit of measurement for the volume of timber in the round, with a value equal to 1.27 cubic feet, where the cross-sectional area is taken as the square of one quarter of the circumference of the round.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
26137,hoppus ton,Noun,"A unit of measurement for the volume of timber in the round, with a value equal to 50 hoppus feet or 1.8027 cubic metres.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
948,Haugh unit,Noun,"A unit of measure of egg protein quality, based on the egg's weight and the height of the albumen immediately around the yolk.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
9058,em,Noun,A unit of measurement equal to the height of the type in use, typography,"Synonyms: quad, em quad, mutton, mut",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
18230,ephah,Noun,A former Hebrew unit of dry volume (about 23L), historical units of measure,"1769, Bible (KJV), Ezekiel, 45:1011: Ye shall have just balances, and a just ephah, and a just bath. The ephah and the bath shall be of one measure, that the bath may contain the tenth part of an homer, and the ephah the tenth part of an homer: the measure thereof shall be after the homer.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
27028,exahertz,Noun,A unit of measurement based on one quintillion hertz.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
32433,picul,Noun,"A traditional South and East Asian unit of weight, based upon the load of a shoulder pole and varying by place and over time but usually standardized at about 60 kg.", units of measure,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
40986,plethron,Noun,A former Greek unit of length equal to 100 Greek feet (podes)., historical units of measure,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
1690,Italian mile,Noun,"Various traditional Italian units of length, particularly the Genovese and Roman miles", units of measure,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
