Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body,domain2,attributive_form,attributive_form_for_term,main_noun_nltk,main_noun_maria,0,1,2,3,4,5,6,7,8,9,field,10,11,12,13,14,15,16,17
13711,demonymy,Noun,The use or study of demonyms,,"2012, Daniel Levin Becker, Many Subtle Channels: In Praise of Potential Literature, ISBN:In keeping with French standards of demonymy, the word oulipian is capitalized here only when it refers to a person: Georges Perec was an Oulipian, but his output was (for the most part) oulipian.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,use or study,,use,or,study,,,,,,,,True,,,,,,,,
14148,dendroarchaeology,Noun,the science that uses dendrochronology to date wooden material from archaeological sites, archaeology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science,,science,,,,,,,,,,True,,,,,,,,
14161,dendrochemistry,Noun,"the science, related to dendrochronology, that uses the analysis of trace minerals in tree rings to study air pollution in past times", chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science ,,science,,,,,,,,,,True,,,,,,,,
14166,dendrochronology,Noun,The science that uses the spacing between the annual growth rings of trees to date their exact year of formation.," biology, archaeology",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science,,science,,,,,,,,,,True,,,,,,,,
14172,dendroclimatology,Noun,the science that uses dendrochronology to reconstruct historical climate conditions,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science,,science,,,,,,,,,,True,,,,,,,,
14198,dendroecology,Noun,The science that uses dendrochronology to analyze historic ecological processes.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science,,science,,,,,,,,,,True,,,,,,,,
14205,dendrogeomorphology,Noun,the science that uses dendrochronology to study changes to the Earth's surface over time, geology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science,,science,,,,,,,,,,True,,,,,,,,
14219,dendrohydrology,Noun,"The science that uses dendrochronology to investigate and reconstruct hydrologic processes, such as river flow and past lake levels.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science,,science,,,,,,,,,,True,,,,,,,,
20906,devil-lore,Noun,"Knowledge, study, doctrine, or history regarding devils and/or demons; demonology.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,"study , doctrine , or history",,study,",",doctrine,",",or,history,,,,,True,,,,,,,,
21916,diacoustics,Noun,The science concerned with the properties of sound as affected by passing through different mediums; diaphonics.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science,,science,,,,,,,,,,True,,,,,,,,
