Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature
34298,hyperbole,Noun,"Deliberate or unintentional overstatement, particularly extreme overstatement"," uncountable, rhetoric, literature","1837, Nathaniel Hawthorne, Legends of the Province House The great staircase, however, may be termed, without much hyperbole, a feature of grandeur and magnificence. 1841, James Fenimore Cooper, The Deerslayer, ch. 28 ""Nay - nay - good Sumach,"" interrupted Deerslayer, whose love of truth was too indomitable to listen to such hyperbole with patience. c. 1910, Theodore Roosevelt, Productive Scholarship Of course the hymn has come to us from somewhere else, but I do not know from where; and the average native of our village firmly believes that it is indigenous to our own soilwhich it can not be, unless it deals in hyperbole, for the nearest approach to a river in our neighborhood is the village pond. 1995, Richard Klein, Introduction, in Cigarettes are sublime, Paperback edition, Durham: Duke University Press, published 1993, ISBN, OCLC 613939086, page 17:In these circumstances, hyperbole is called for, the rhetorical figure that raises its objects up, excessively, way above their actual merit: it is not to deceive by exaggeration that one overshoots the mark, but to allow the true value, the truth of what is insufficiently valued, to appear. 2001, Tom Bentley, Daniel Stedman Jones, The Moral Universe The perennial problem, especially for the BBC, has been to reconcile the hyperbole-driven agenda of newspapers with the requirement of balance, which is crucial to the public service remit.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7990,elegant variation,Noun,A form of journalese characterized by the overuse of synonyms for fear of repeating a word.," journalism, literature",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12312,encomium,Noun,"A genre of literature that included five elements: prologue, birth and upbringing, acts of the person's life, comparisons used to praise the subject, and an epilogue.", literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
18416,epical,Noun,Any book containing 2 or more epics., literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19436,episodic,Adjective,made up a sequence of seemingly unconnected episodes I just read five attempts at episodic novels has nobody heard of a plot anymore?, literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21393,erom,Noun,A blend of erotica and romance., literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
24491,eucatastrophe,Noun,A catastrophe (dramatic event leading to plot resolution) that results in the protagonist's well-being, literature,"[from 1944] [1944 November 7, J[ohn] R[onald] R[euel] Tolkien, 88. From a Letter to Christopher Tolkien[,] 28 October 1944 (FS 58), in Humphrey Carpenter with the assistance of Christopher Tolkien, editors, Letters of J. R. R. Tolkien, London: George Allen Unwin, published 1981, ISBN; The Letters of J. R. R. Tolkien, Houghton Mifflin paperback edition, Boston, Mass.; New York, N.Y.: Houghton Mifflin Company, 2000, ISBN, page 100:But at the story of the little boy (which is a fully attested fact of course) with its apparent sad ending and then its sudden unhoped-for happy ending, I was deeply moved and had that peculiar emotion we all have though not often. [] For it I coined the word eucatastrophe: the sudden happy turn in a story which pierces you with a joy that brings tears (which I argued it is the highest function of fairy-stories to produce).] 1988, Alzina Stone Dale, Prologue: J. Alfred Prufrock among the Prophets, in T. S. Eliot: The Philosopher Poet (The Wheaton Literary Series), Wheaton, Ill.: Harold Shaw, ISBN; T. S. Eliot: The Philsopher-Poet, Authors Guild Backprint.com edition, Lincoln, Neb.: iUniverse, 2004, ISBN, page 5:The ""problem"" of T[homas] S[tearns] Eliot comes partly from our post-Christian sense of a world where Tolkien's eucatastrophes never happen, and partly from the way we write biography. 2015, John J. Davenport, quoting Eleanor Helms, The Virtues of Ambivalence: Wholeheartedness as Existential Telos and the Unwillable Completion of Narravives, in John Lippitt and Patrick Stokes, editors, Narrative, Identity and the Kierkegaardian Self, Edinburgh: Edinburgh University Press, ISBN, page 159:Literary unity demands that once a eucatastrophe happens it must be accepted as part of the story rather than as an arbitrary whim of the author.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29469,exord,Noun,"A preface or prefatory passage 1830, Ferrario -- On Chivalry and Romance and Italian Romantic Poetry, in Foreign Quarterly Review[1], volume VI, number XIII, page 387:One peculiarity of Bello is his having first broken through the custom of religious invocations at the heads of his cantos, in place of which he substituted poetical exords, or reflections on the events of his narrative, or on circumstances connected with them.", literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8514,parataxis,Noun,"The juxtaposition of two images or fragments, usually starkly dissimilar, without a clear connection.", literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12657,pathos,Noun,An author's attempt to evoke a feeling of pity or sympathetic sorrow for a character., literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
