Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur
10346,giaour,Noun,"A non-Muslim, especially a Christian, an infidel; especially as used by Turkish people with particular reference to Christians such as Greeks, Armenians, Bulgarians, Serbs and Assyrians"," derogatory, ethnic slur","1963, Thomas Pynchon, V.: We men are not a race of freebooters or giaours; not when our argosies are prey and food to the evil fish-of-metal whose lair is a German U-boat. 2001, Orhan Pamuk, Erda M. Gknar (translator), My Name Is Red: I shudder in delight when I think of two-hundred-year-old books, dating back to the time of Tamerlane, volumes for which acquisitive giaours gleefully relinquish gold pieces and which they carry all the way back to their own countries [] . 2004, Ebenezer Cobham Brewer, The Giaour in Character Sketches Of Romance, Fiction And The Drama, volume 2, page 85: Byrons tale called The Giaour is supposed to be told by a Turkish fisherman who had been employed all the day in the gulf of gina, and landed his boat at night-fall on the Pirus, now called the harbor of Port Leon. [] The tale is this: Leilah, the beautiful concubine of the Caliph Hasson[sic], falls in love with a giaour, flees from the seraglio, is overtaken by an emir, put to death, and cast into the sea. The giaour cleaves Hassans skull, flees for his life, and becomes a monk.",False,False,False,False,False,False,True
26013,groid,Noun,A black person.," derogatory, ethnic slur",,False,False,False,False,False,False,True
29924,gweilo,Noun,"A white person in China, (particularly) a man; a foreign devil"," colloquial, ethnic slur","1977, John Le Carr, The Honourable Schoolboy, Folio Society 2010, p. 179: She had ruffled the bed and laid a frilly nightdress on the floor because so far as the block was concerned Phoebe was the half-kwailo bastard who whored with the fat foreign devil.",False,False,False,False,False,False,True
30418,gyppy,Noun,A gypsy.," informal, derogatory, ethnic slur",,False,False,False,False,False,False,True
39920,apple,Noun,A Native American or red-skinned person who acts and/or thinks like a white (Caucasian) person," derogatory, ethnic slur","1998, Opal J. Moore, Git That Gal a Red Dress: A Conversation Between Female Faculty at a State School in Virginia, in Daryl Cumber Dance, editor, Honey, Hush!: An Anthology of African American Women's Humor, W. W. Norton Company, ISBN, page 537:The presenter, close to tears, told the audience that she's really an applewhite on the inside and red on the outsideNative American. 2012 November 12, Joel Spring, The Cultural Transformation of A Native American Family and Its Tribe 1763-1995: A Basket of Apples[2], Routledge, ISBN, ch. 9:My ancestors five generations removed were ""apples"" who were ""White"" on the inside and ""Red"" on the outside.",False,False,False,False,False,False,True
4752,tar baby,Noun,A black person.," derogatory, ethnic slur",,False,False,False,False,False,False,True
4834,tarbaby,Noun,A black person," derogatory, ethnic slur",,False,False,False,False,False,False,True
14763,thass,Verb,thats," eye dialect or representing slurred, drunken speech",,False,False,False,False,False,False,True
30488,towelheaded,Adjective,Arabic, ethnic slur,,False,False,False,False,False,False,True
32292,trailer nigger,Noun,"A white person, especially poorly-educated or of low social status."," US, idiomatic, derogatory, ethnic slur",,False,False,False,False,False,False,True
