Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon
13155,wikification,Noun,The automated process of adding links to Wikipedia to specific words and phrases in an arbitrary text (e.g, Wiktionary and WMF jargon,"a news article). 2007, Andras Csomai and Rada Mihalcea, Linking Educational Materials to Encyclopedic Knowledge, in Rosemary Luckin et al. (editors), Artificial Intelligence in Education, IOS Press, ISBN, page 558: Given a text or hypertext document, we define text wikification as the task of automatically extracting the most important words and phrases in the document (keywords), and identifying for each such keyword the appropriate link to a Wikipedia article with detailed explanatory information about the corresponding keyphrase. Text wikification is performed in two steps. [] 2009, Ian H. Witten, abstract of the presentation Semantic Document Processing Using Wikipedia as a Knowledge Base, in Shlomo Geva et al. (editors), Focused Retrieval and Evaluation (INEX 2009 workshop proceedings), Springer (2010), ISBN, page 3: This task will introduce the process of wikification; that is, automatically and judiciously augmenting a plain-text document with pertinent hyperlinks to Wikipedia articles as though the document were itself a Wikipedia article. [] Wikification is a useful process in itself, [] 200910, Amir Hossein Jadidinejad, Fariborz Mahmoudi, Cross-Language Information Retrieval Using Meta-language Index Construction and Structural Queries, in Multilingual Information Access Evaluation I, page 73: 3 Query Wikification The process of automatically recognizing the topics mentioned in an unstructured text and linking them to the appropriate Wikipedia [6] articles is known as wikification. Two Wikification method[s] have been proposed by now.",False,False,False,False,False,False,False,False,False,True
13163,wikiholic,Noun,A person who devotes a vast amount of time to a wiki-based project," Wiktionary and WMF jargon, neologism","2005 November 27, Karen Lofstrom, Peeve: Iranian Shi'a, rec.arts.sf.fandom, Usenet I'm a Wikipedia editor. A Wikiholic. I have some 500 articles on my watchlist (!!!) and I edit some of the more controversial articles on WP: the Islam-related articles. For many months, I have been butting heads with some Iranian Shi'a editors... 2005, Richard Quinn, as quoted by David Dyer-Bennet, Re: Charlie Stross: Wikipedian Extraordinaire (April 8), rec.arts.sf.written, Usenet I was blessed with insight, that rare moment of lucidity which can truly validate the Buddhist belief in a path to enlightenment: Charles Stross is a Wikiholic! 2006, ""Gary Younge reports on Wiki-mania, and Wikipedia vandalism"", The Guardian Unlimited, Aug 9, 2006 ""A lot of them are probably the sort of people who would have social problems in real life,"" said one wikimaniac over lunch, as though being a ""wikiholic"" suggested a full and active life.",False,False,False,False,False,False,False,False,False,True
13166,wikilawyering,Noun,Engaging in legalistic arguments on a wiki, Wiktionary and WMF jargon,"2007, Bidoun: A Quarterly Forum for Middle Eastern Talent [] comments like these about ""Jew-baiting"" are very rare on even the most contentious of ""discussion"" and ""mediation"" pages. What one finds there instead is wikilawyering cryptic, acronym-laden debate invoking protocol and precedent. 2008, ""Big Bad Bob"", Re: alt-hacker.org member busted for wikilawyering! (on newsgroup alt.hacker) 2012, ""Graham Nye"", Four killed in US when train hits float carrying veterans (on newsgroup uk.railway) What, and be buried in wikilawyering designed to keep actual subject matter experts out and leave wp safely in the hands of the wikieditor cliques?",False,False,False,False,False,False,False,False,False,True
13168,wikilink,Noun,A hyperlink from one wiki entry to another, Wiktionary and WMF jargon,"2008, John Broughton, Wikipedia: the missing manual, page 75:Go through the article and create internal links (wikilinks) that point to other articles (this is part of what is called wikification). 2008, Phoebe Ayers, Charles Matthews, Ben Yates, How Wikipedia works: and how you can be a part of it, page 151:Adding too many wikilinks (overlinking) is usually caused by novice over-enthusiasm 2009, Charley Rowe, Eva Lia Wyss, Language and new media: linguistic, cultural, and technological evolutions, page 342:Veterans avoid the excessive use of wiki-compounding as it is considered ""unencyclopedic"" and cliche. However, it is tolerated when it refers to technical terms (eg, wikilinks), when it is an existing subject",False,False,False,False,False,False,False,False,False,True
13177,wikiproject,Noun,A collection of pages devoted to the management of a specific family of information within a wiki., Wiktionary and WMF jargon,,False,False,False,False,False,False,False,False,False,True
16463,wl,Noun,Abbreviation of wikilink., Wiktionary and WMF jargon,,False,False,False,False,False,False,False,False,False,True
7811,barnstar,Noun,"An image posted on a wiki user's personal page by another user, as an informal award or form of recognition", Wiktionary and WMF jargon,"2008, Jonathan Zittrain, The Future of the Internet - And How to Stop It, page 290:There are many different Wikipedia barnstars that connote different things.",False,False,False,False,False,False,False,False,False,True
22386,bikeshed,Noun,"A topic that is attracting debate ad nauseam, out of all proportion to its actual importance"," figuratively, technical jargon","Also bikeshedding, the process of arguing endlessly over details of some small and relatively unimportant thing. Originates as a metaphor to explain Parkinsons Law of Triviality.",False,False,False,False,False,False,False,False,False,True
22387,bikeshed,Verb,Discuss a minor detail, technical jargon,"2012, Guido van Rossum, Discussion message: Expose dict_proxy internal type as types.MappingProxyType I'd like to bikeshed a little on the name.",False,False,False,False,False,False,False,False,False,True
49951,bug,Noun,A problem that needs fixing, chiefly computing and engineering jargon,"Synonyms: defect, glitch The software bug led the computer to calculate 2 plus 2 as 3. 1878, Thomas P. Hughes, quoting Thomas Edison, Edison to Puskas, 13 November 1878, Edison papers, quoted in American Genesis: A History of the American Genius for Invention, Edison National Laboratory, U.S. National Park Service, West Orange, N.J.: Penguin Books, published 1989, ISBN, page 75:I have the right principle and am on the right track, but time, hard work and some good luck are necessary too. It has been just so in all of my inventions. The first step is an intuition, and comes with a burst, then difficulties arise -- this thing gives out and [it is] then that ""Bugs"" -- as such little faults and difficulties are called -- show themselves and months of intense watching, study and labor are requisite before commercial success or failure is certainly reached. 1968 April 1, Popular Mechanics:A... leading aluminum producer claims it has worked all the bugs out of building and servicing aluminum radiators, says it hopes to have a large chunk of the radiator market by the early nineteen seventies.",False,False,False,False,False,False,False,False,False,True
52270,bureaucrat,Noun,A wiki user with the right to change user access levels., Wiktionary and WMF jargon,,False,False,False,False,False,False,False,False,False,True
7696,hatnote,Noun,"A short note placed at the top of an article, normally to provide links to other similarly named articles or disambiguation pages", Wiktionary and WMF jargon,"2008, John Broughton, Wikipedia: The Missing Manual, page 320:If a reader searches for dioxin, she arrives at this article. The too-long hatnote on this page probably befuddled many readers looking for the Wikipedia article Polychlorinated dibenzodioxins. 2008, Phoebe Ayers, Charles Matthews, Ben Yates, How Wikipedia Works: And How You Can Be a Part of It, page 237:A hatnote on this default page points readers to the disambiguation page if they're looking for articles using a different meaning of the term.",False,False,False,False,False,False,False,False,False,True
23688,homicide,Noun,A victim of homicide; a person who has been unlawfully killed by someone else," countable, US, police jargon","1996, A J Holt, Watch Me [1]: She was a hippie kid. How hard would you work a case like that? As hard as anyone else, said Goddard. There was an irritated note in his voice. She was a homicide. She got what every homicide investigation gets. 2003, Ellen Perry Berkeley, Keith's People ISBN, page 58: We don't even know the woman was a homicide. Didn't they say it was possible they both jumped? 2004, Jon Talton, Dry Heat ISBN, page 40: The medical examiner was behind on autopsies and cranky, so we didn't even know if the old guy in the pool was a homicide.",False,False,False,False,False,False,False,False,False,True
28293,hotword,Noun,A special word used to activate a digital personal assistant," computing, jargon","Synonym: wake word 2015 June 25, Ian Paul, 'OK Google' hotword detection yanked from Chromium after user revolt, in PCWorld[1]:Google recently killed an extension in the open source Chromium browser that enabled OK, Google hotword detection. The move follows developer concern that the proprietary functionality was included in Chromium to begin with. 2016 November 3, Ron Amadeo, The mesh hotword system is straight out ofStar Trek, in Ars Technica[2]:Smartphones make a lot of compromises to be compact and low power though, so the hotword performance was never as good as it could be thanks to tiny microphones and low-power modes that could kill hotword detection. 2017 October 11, Gianluca Mezziofiore, Google is forced to shut down Home Mini feature that quietly records everything, in Mashable[3]:Home assistants all work in a similar way: you say a hotword ""Alexa"" for Amazon Echo, ""Hey Google"" for Google Homes and they switch on, ready to record your question/order, send it to the cloud, and then answer/execute your order.",False,False,False,False,False,False,False,False,False,True
3837,edit war,Noun,A dispute over the content of a page on a wiki or other editable work where opposing editors continually change the page without discussion, Wiktionary and WMF jargon,"As with dinner-table discussions, it is best to avoid editing articles about politics or religion unless one wishes to become entrenched in a perpetual edit war.",False,False,False,False,False,False,False,False,False,True
3838,edit war,Verb,To engage in such a dispute, Wiktionary and WMF jargon,"When a dispute arises, it is common to see a page protected to avoid edit warring.",False,False,False,False,False,False,False,False,False,True
18348,epi,Noun,epinephrine, medical jargon,,False,False,False,False,False,False,False,False,False,True
22077,escalation plan,Noun,A plan that specifies actions to be taken when the telephone queue exceeds acceptable levels., call center jargon,,False,False,False,False,False,False,False,False,False,True
34791,ping,Noun,A notification., Wiktionary and WMF jargon,,False,False,False,False,False,False,False,False,False,True
34801,ping,Verb,To send a notification to (another user) when commenting on a public page., Wiktionary and WMF jargon,,False,False,False,False,False,False,False,False,False,True
51228,positive,Adjective,"Good, desirable, healthful, pleasant, enjoyable; (often precedes 'energy', 'thought', 'feeling' or 'emotion')", New Age jargon,"2009, Christopher Johns, Becoming a Reflective Practitioner, John Wiley Sons, p. 15 Negative feelings can be worked through and their energy converted into positive energy... In crisis, normal patterns of self-organization fail, resulting in anxiety (negative energy). Being open systems, people can exchange this energy with the environment and create positive energy for taking action...",False,False,False,False,False,False,False,False,False,True
57863,precise,Verb,To make or render precise," nonstandard, used by non-native speakers or in jargon, e.g. by the European Union, transitive","2011, Proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL on the Common Fisheries Policy:This proposal for a new basic regulation is justified because there is a need to precise the objectives of the CFP.",False,False,False,False,False,False,False,False,False,True
4088,navbox,Noun,"A navigation box; a template placed on a page, outputting a box containing links to other, related articles", Wiktionary and WMF jargon,"2009, Iustin Dornescu, ""Semantic QA for Encyclopaedic Questions: EQUAL in GikiCLEF"" in Peters, C. et al., Multilingual Information Access Evaluation I: Text Retrieval Experiments, p. 330: The general architecture allows for such a constraint to be validated from any source which mentions the two entities, including tables, list pages, navboxes, and perhaps wikified newswire articles [5,6]. 2015, Sedigheh Khalatbari and Seyed Mirroshandel, ""Automatic Construction of Domain Ontology Using Wikipedia and Enhancing it by Google Search Engine"", p. 252: The page analyzer then extracts existing data in Navboxes. 2016, D. Dimitrov, P. Singer and F. Lemmerich, ""Visual Positions of Links and Clicks on Wikipedia"" in Proceedings of the 25th International Conference Companion on World Wide Web, p. 27: We introduce a novel dataset capturing the visual position of all links between articles of the English Wikipedia (including also templates, infoboxes/sidebars, and navboxes) based on their fine-grained screen coordinates []",False,False,False,False,False,False,False,False,False,True
