term,definition
phonics,The study of how the sounds of words are represented by spelling.
phonology,"The study of the way sounds function in languages, including phonemes, syllable structure, stress, accent, intonation, and which sounds are distinctive units within a language."
phononics,The branch of physics concerned with phonons.
phoronomics,The science of motion; kinematics
phospholipidomics,The study of the phospholipidome of an organism or cell
photics,The science of light
photobiology,"The study of the effects of light on living organisms, and on biological processes"
photobiophysics,The branch of biophysics that deals with the interaction of light with biological systems
photochemistry,The study of photochemical reactions.
photochromics,The study of photochromism.
photodermatology,The study of the effects of light on the skin
photodynamics,The study of the activating effects of light on living organisms
photokinetics,The study of photokinesis
photomagnetism,The branch of science that deals with the relation of magnetism to light.
photomedicine,The branch of medicine that involves the therapeutic use of light.
photometrics,The science of photometry
photopathology,The branch of pathology dealing with disease caused by exposure to light
photoscience,The science of photography.
phrasal typology,"The study of phrasal verbs, idioms, and hyphenated nouns and adjectives (and of rhetorical and literary terminology) and how they are categorized or typed."
phrenics,The branch of science that relates to the mind; mental philosophy.
phylodynamics,"the study of genetic variation in pathogens, and the affect of such variation on their transmission etc."
phylogeography,The study of the processes controlling the geographic distributions of lineages by constructing the genealogies of populations and genes
physics,"The branch of science concerned with the study of the properties and interactions of space, time, matter and energy"
physiognomics,The study of physiognomy.
physiognomonics,The study of physiognomy.
phytobiology,The branch of biology that involves plants.
phytocoenology,The study of phytocoenoses
phytography,The branch of botany concerned with the description of plants.
phytology,the study of plants; botany
phytometrics,The study of methods for uniquely recognizing or predicting physiological processes in plants based upon one or more intrinsic physical or behavioral traits
phytonomy,The science of the origin and growth of plants.
phytopathology,The study of plant diseases; plant pathology
phytopharmacology,The study of medicine from plant sources
phytosemiotics,The study of plant communication.
phytosociology,"The study of the ecology, classification and distribution of plant communities"
phytotronics,"The study of plants under controlled environmental conditions in order to determine the effects of a single, or known combination of environmental parameters."
piezoelectrics,The study of piezoelectricity
piscatology,The study of fishing
placentology,The study of the placenta.
plane geometry,The study of figures having parts that lie in a singular plane.
planetography,The branch of astronomy concerned with the description of the physical features of planets
planetology,"The study of planets, planetary systems and the solar system."
planetophysics,The branch of astrophysics dealing with planets and planetary systems; planetology
planktology,The study of plankton
plectics,the study of complexity and its underlying simplicity
plutonomics,The study of wealth.
plutonomy,"The study of the production and distribution of wealth, or a society seen as dominated by such concerns"
pneudraulics,The science of fluids made of both gas and liquid.
pneumatics,The branch of mechanics that deals with the mechanical properties of gases
pneumatology,"The study of spiritual beings and phenomena, especially the interactions between humans and God."
pneumology,The study of the respiratory system and organs.
pneumonology,"The study of the respiratory system and of its pathology Synonyms: pneumology, pulmonology"
polemology,The study of human conflict and war
politology,"The branch of social science concerned with theory, description, analysis and prediction of political behavior, political systems and politics broadly-construed."
pomology,The study of pome fruit and of the cultivation of such fruit.
pomology,The study of fruit in general and of the cultivation of fruit.
ponerology,The study of evil
population biology,"The study of populations of organisms, especially the growth and regulation of population sizes and genetics, and the effects of interactions between species."
population genetics,"The study of the allele frequency distribution and change under the influence of the four evolutionary processes: natural selection, genetic drift, mutation and gene flow."
poromechanics,The study of porous materials.
positive economics,The branch of economics that concerns the description and explanation of economic phenomena and their causal relationships
posology,"The study of the dosages of drugs, especially the determination of appropriate dosages"
potamology,The study of rivers.
practical alchemy,The study of ancient alchemy using the knowledge and techniques of modern chemistry in order to advance the understanding of the history of chemistry.
pragmalinguistics,The study of the use of illocution in a language.
praxeology,The study of human action or conduct.
predicate calculus,"The branch of logic that deals with quantified statements such as ""there exists an x such that..."" or ""for any x, it is the case that..."", where x is a member of the domain of discourse."
prephilately,The branch of philately concerned with postal systems prior to the introduction of postage stamps.
primatology,The branch of zoology relating to the study of primates
procatarctics,The study of procatarctic causes
proctology,"The branch of medicine dealing with the pathology and surgery of the colon, rectum, and anus."
prosodics,The study of prosody in speech.
prosody,"The study of rhythm, intonation, stress, and related attributes in speech."
prosody,The study of poetic meter; the patterns of sounds and rhythms in verse.
proteomics,The branch of molecular biology that studies the set of proteins expressed by the genome of an organism
protobiology,"The study of very small biological structures, such as ultraviruses and bacteriophages"
protozoology,The study of protozoa.
protozoology,The study of protists.
proxemics,The study of the effects of the physical distance between people in different cultures and societies
psammology,The branch of geology concerned with the study of sand.
psychiatry,"The branch of medicine that subjectively diagnoses, treats, and studies mental disorders and behavioural conditions."
psychicism,The study of psychic ability.
psychobiology,The study of the biological basis for cognition and other mental processes.
psychobiology,"The branch of psychology that interprets psychological phenomena in terms of adaptation to biological, environmental, etc"
psychogenetics,The branch of psychiatry or genetics that studies the effect of genetic inheritance on mental illness.
psychogeography,The study of the effect of geographical factors on the mind or on behaviour
psychognosy,"The study of mentality, personality, or character."
psychographology,The study of handwriting as a means of analyzing a person's character.
psycholinguistics,"The study of the comprehension and production of language in its spoken, written and signed forms."
psychology,The study of the human mind.
psychology,The study of human behavior.
psychology,The study of animal behavior.
psychoneuroimmunology,"The study of the interactions between behavioural, neural, endocrine and immune functions"
psychonomics,"The branch of psychology that aims to discover strict laws that govern the working of the mind, especially by means of experiment"
psychooncology,The branch of psychology that deals with people's experience of cancer
psychopathology,"The study of the origin, development, diagnosis and treatment of mental and behavioural disorders."
psychopharmacology,The branch of pharmacology which pertains to the psychoactive aspects of drugs.
psychopharmacotherapeutics,The study of psychopharmacotherapy.
psychophonetics,The study of phonetics as it relates to human psychology.
psychophysics,The branch of psychology concerned with the effects of physical stimuli on mental processes
psychophysiology,The branch of physiology that deals with the interaction of the mind and physiological processes
psychosemantics,The study of how meaning is inferred
psychosemiotics,The study of how people make and use signs to convey meaning.
psychosociology,The study of psychosocial development
psychrometrics,The study of the physical and thermodynamic properties of the atmosphere and its water vapour.
pterology,The study of insects' wings.
ptilochronology,The study of feather growth rates as an index of nutritional condition in birds
ptochology,"The study of poverty,"
pulmonology,The branch of medicine dealing with diseases of the lungs and respiratory tract
pyramidology,"The study of pyramids, but from a supernatural or new-age perspective, rather than the historical or archaeological viewpoint."
Iranology,The study of Iran and its culture and history; Iranian studies.
Islamics,The study of Islam
Islamology,The study of Islam.
Marxology,The study of the works of Karl Marx.
Mendelism,The study of heredity of character.
Morse theory,"The study of differentiable functions, the domain of each of which is a manifold and the codomain is the real line"
nanoarchitectonics,The science of nanoarchitecture
nanofluidics,The study of the behaviour of fluids confined in nanoscale structures.
nanogeoscience,The study of geological nanoparticles
nanomechanics,The study of the mechanical properties of nanostructures and nanomaterials
nanotribology,The branch of tribology that studies friction at the nanoscale
narcology,The study of drug abuse.
narratology,The study of narrative structure.
natural history,"The study of all living things, especially their origins, evolution and interrelationships."
natural history,"The study of all natural phenomena: botany, zoology, mineralogy, etc."
necrology,The study of death or the dead.
nematodynamics,The study of the orientation dynamics of nematic (flowless) liquid crystals
nematology,The branch of biology that studies nematode roundworms
neonatology,"The branch of medicine that deals with newborn infants, especially the ill or premature newborn infant."
neontology,"The study of organisms living in the current era, as opposed to organisms that are extinct"
nephology,The branch of meteorology that studies clouds
nephrology,The branch of medicine that deals with the function and diseases of the kidneys.
neurobiochemistry,The branch of neuroscience concerned with the biochemistry of the nervous system
neurochemistry,The branch of neuroscience concerned with the chemistry of the nervous system
neurocytology,"The study of nerve cells, or neurons; cytology of the nervous system."
neurodynamics,The study of rhythmic or repetitive neural activity
neuroecology,The study of the ecological effects of neuroethology
neuroembryology,The study of the formation and development of the brain and nervous system in the embryo
neuroendocrinology,The study of the interactions between the nervous system and the endocrine system.
neuroenergetics,"The study of the flow of energy within the brain, and of the energy demands of neural function."
neuroepigenetics,The study of epigenetic aspects of the nervous system
neuroethology,The study of animal behavior and its underlying control by the nervous system
neurogenetics,The study of the role of genetics in the development of neurological disorders
neuroimmunology,"The study of the relationship between the nervous system and the immune system, especially with regard to autoimmune conditions."
neurology,"The branch of medicine that deals with the disorders of nervous system including the brain and spinal cord of the central nervous system and the nerves, muscles, and neuromuscular junction of the peripheral nervous system."
neuromagnetism,the study of the very small magnetic fields produced during brain activity
neuromechanics,The study of the interaction of the nervous system with mechanical activity of the body
neuromyology,The study of nerves and muscles.
neuropaleobiology,The branch of paleobiology (or of neurobiology) concerned with the nervous systems of extinct animals
neurophysics,The branch of physics dealing with the nervous system.
neurophysiology,The branch of physiology that deals with the nervous system.
neuropsychiatry,The branch of medicine dealing with disorders that have both neurological and psychiatric features
neurotheology,"The study of correlations of neural phenomena with the subjective experience of spirituality, attained through means such as the consumption of hallucinogenic drugs."
neurotoponomics,The study of the toponome of the nervous system.
neurourology,The branch of urology that deals with disorders of the bladder related to spinal injuries and neurological disorders
noetic,The science of the intellect.
nomadology,The study of personal identities that are not rooted in one place or limited to a single fixed worldview.
nomology,The study of laws
nomology,The study of general physical and logical laws
nomology,The science of the laws of the mind; rational psychology
normal histology,The study of the microscopic structure of living tissue (histology) that is in good health (as opposed to pathological histology which studies that of diseased tissue).
nosology,The study of diseases; the systematic investigation or classification of disease.
nostology,The study of senility; gerontology
nuclear medicine,The branch of medicine that uses radioactive isotopes in the diagnosis and treatment of disease
nuclear physics,"The branch of physics that studies the nucleus of the atom, its internal structure and components"
nucleonics,"The study of nucleons, or of atomic nuclei"
number theory,The branch of pure mathematics concerned with the properties of integers
numerical analysis,"The study of algorithms to solve mathematical problems concerning continuous sets of values (such as the real numbers, complex numbers or vector spaces)."
numerology,"The study of the purported mystical relationship between numbers (or the letters of words, represented by numbers) and the character or action of physical objects and living things."
numismatics,"The study of coins, tokens, medals and paper money"
numismatics,The study of coins
nutriphenomics,The study of the interactions between nutrition and the phenome of an individual
valeology,The science of healthy living
vampirology,The study of vampires or the vampire mythos.
vector algebra,The branch of mathematics that deals with vectors and operations on them.
vectorology,The study of epidemiological vectors
venerology,The study of venereal disease.
venomics,The study of the proteome of venoms
verbology,"The study of words or (sometimes, specifically) verbs."
veterinary medicine,"The branch of medicine that deals with the causes, diagnosis, and treatment of diseases and injuries of animals, especially domestic and farm animals."
vexillology,The study of flags Vexillology can help us to delve into national and global history
victimology,"The study of the victims of crime, and especially of the reasons why some people are more prone to be victims."
viroimmunology,The study of the effects of viruses on the immunological system
virology,The branch of microbiology that deals with the study of viruses and viral diseases.
viscoelasticity,The branch of rheology that studies such materials.
viziometrics,The study of visual information presented within scientific or other literature
volcanology,The study of volcanoes.
vulcanology,The study of volcanoes.
caliology,The study of birds' nests.
calorimetry,The science of measuring the heat absorbed or evolved during the course of a chemical reaction or change of state.
cambistry,"The science of exchange, weight, measures, etc."
cameralistics,The science of finance or public revenue.
campanology,"The study of bells and their casting, tuning, and ringing."
carcinology,The study of crustaceans.
cardiology,"The study of the structure, function, and disorders of the heart."
cardiopulmonology,The study of cardiopulmonary disorders.
cariology,The study of dental caries and its development.
carpology,the study of the structure of seeds and fruit
castellology,The study of castles.
catabolomics,The study of the range of catabolites present in a person's body
catastrophe theory,The branch of mathematics dealing with dynamical systems which can undergo abrupt irreversible qualitative changes due to a tiny change in parameters.
catoptrics,The branch of optics dealing with reflection
cavalry,"The branch of the military transported by fast light vehicles, also known as mechanized cavalry."
cellomics,The study of cell phenotypes and functions
cellulosomics,The study of cellulosomes
ceramology,The study of ceramics
cerebrophysiology,"The study of the brain, focussing on its structure and functions"
cetology,"The branch of zoology concerned with the order Cetacea, which includes whales, dolphins, and porpoises."
chalcidology,The study of chalcid wasps
channelography,The study of the process that constrains the path of a charged particle in a crystalline solid
chaology,The study of chaos and chaotic systems
chaos theory,The study of iterative non-linear systems in which arbitrarily small variations in initial conditions become magnified over time.
character theory,The branch of abstract algebra dealing with group characters.
cheesology,The study of cheese.
chemical ecology,the study of the effects of chemical compounds on the interactions of living organisms
chemical engineering,"The branch of engineering that deals with the design, construction and operation of industrial process plants, and the physical, chemical and biological processes to create substances or energy in a useful and economic form."
chemical kinetics,"the study of the reaction rates of chemical reactions, especially as a means of elucidating reaction pathways or mechanisms"
chemical oceanography,The study of the chemistry of the oceans.
chemistry,The branch of natural science that deals with the composition and constitution of substances and the changes that they undergo as a consequence of alterations in the constitution of their molecules.
chemobiology,The study of the influence of chemical compounds on biological systems
chemobiology,The study of the effect of chemical structure on biological activity
chemodynamics,The study of the dynamics of chemical reactions
chemodynamics,"The study of the dynamic changes that take place in the environment as a result of reaction between natural and man-made compounds, especially by pollutants"
chemogenomics,The study of the genomic effect of chemical compounds (especially drugs)
chiropody,The branch of medicine concerned with the diagnosis and treatment of diseases of the feet (and formerly the hands)
chondrology,The branch of anatomy that deals with cartilage
choreology,"The study of the aesthetic and science of forms of human movement, by movement notation"
chorography,"The study of provinces, regions, cities, etc., as opposed to larger-scale geography."
chorology,The study of the spatial distribution of organisms.
chrematistics,The study of wealth.
chresmology,the study of prophecy
chromatics,The science of colours; the branch of optics that deals with the properties of colours.
chromodynamics,"The study of the relationship between those quarks that possess the quantum property of color, and exchange gluons; more fully quantum chromodynamics."
chromosomology,"The study of chromosomes 2016 February 17, Development of a Xeno-Free Feeder-Layer System from Human Umbilical Cord Mesenchymal Stem Cells for Prolonged Expansion of Human Induced Pluripotent Stem Cells in Culture, in PLOS ONE[1], DOI:10.1371/journal.pone.0149023:In this study, morphology, growth rate, chromosomology, cytochemistry and molecular biology analysis of hiPSCs cultured on hUC-MSCs feeder in comparison to those on MEF feeder confirmed the characteristics of hiPSCs were of pluripotent stem cell properties."
chronemics,The study of the communicative function of time
chronobiology,"The study of the effects of time on biological systems, especially the effects of periodicity"
chronoecology,"The study of the effects of time on ecosystems, especially the effects of periodicity"
chronology,the science of determining the order in which events occurred.
chronometry,The science of the measurement of time
chronopharmacodynamics,The study of how the effects of drugs are modified based on the time at which they are administered.
chronopharmacokinetics,"The study of how the absorption, metabolism and elimination of drugs relates to the time at which they are administered."
chronopharmacology,The branch of pharmacology concerned with the interaction of drugs and biorhythms
chronophysiology,The study of the cyclic variations and rhythmicity in physiological processes in the body
chronopsychology,The study of the psychological effects of human circadian rhythms and related topics
chronotoxicology,The study of the interactions between toxic substances and biorhythms
cindynics,The science of risk analysis
cinemology,The study of film
civics,The study of good citizenship and proper membership in a community.
classical hadrodynamics,"The study of classical relativistic equations of motion for actions involving extended nucleons interacting with massive, neutral scalar and vector meson fields."
classical studies,"The study of Ancient Greek and Latin, their literature, history, etc., sometimes inclusive of the study of the ancient Mediterranean generally."
clinicopathology,"The study of the signs and symptoms of a disease and also of its pathology, especially with regard to their correlations"
clownology,The study of being a clown
codicology,the study of codices (early handwritten books)
coding theory,The branch of mathematics dealing with the art of transmitting messages reliably over a noisy channel by adding redundancy to the message.
coenology,The study of coenoses
colorimetry,The science of measuring colours and assigning them numeric values.
cometology,The branch of astronomy that deals with comets.
commutative algebra,The branch of algebra concerned with commutative rings and objects related to them (such as ideals and modules)
company law,the branch of law which deals with the formation and running of companies.
comparative anatomy,the study of similarities and differences in the anatomy of organisms
complementology,The branch of immunology that deals with complement (one of four proteolytic cascades in blood)
complex analysis,The branch of mathematics that studies holomorphic functions.
computability theory,The branch of the theory of computation that studies which problems are computationally solvable using different models.
computer architecture,The science of computer design.
computer science,"The study of computers and their architecture, languages, and applications, in all aspects, as well as the mathematical structures that relate to computers and computation."
conchology,"the study of molluscs and their shells 2011, John Jeremiah Sullivan, Pulphead, The least dreadful among the essays stacked and waiting to be corrected would be that of young Master Jefferson Davis, who when imprisoned by Andrew Johnson in 1866 will ask his physician at Fortress Monroe to procure a few volumes of ""conchology, geology, or botany,"" he desiring to commune with the interests of more innocent days."
conformational analysis,The study of the arrangement in space of the constituent atoms of a molecule that may undergo rotation about one or more single bonds
conjuncturalism,The study of the conjunctures that influence interacting cultures.
connectomics,The study of the connectivity of synapses in the brain
conscientiology,The study of consciousness.
conspiratology,The study of conspiracies.
contact linguistics,The study of language contact
continuum theory,"The branch of topology devoted to the study of continua, a type of metric space."
cosmetic dentistry,The branch of dentistry that deals with the appearance of teeth
cosmeticology,The science of cosmetic products; cosmetology.
cosmetology,the science of cosmetics
cosmochemistry,"The branch of chemistry that deals with the creation of the elements, and their isotopic distribution, in the universe; also with the synthesis and reactions of simple molecules in interstellar space."
cosmochronology,The science of determining timescales for astrophysical objects and events.
cosmoclimatology,The study of the effects of cosmic rays on the Earth's climate (and weather)
cosmogony,"The study of the origin, and sometimes the development, of the universe or the solar system, in astrophysics, religion, and other fields."
cosmography,The study of the size and geometry of the universe and changes in those with cosmic time.
cosmokinematics,"The study of the motion or the universe 2015, Orlando Luongo, Giovanni Battista Pisani, Antonio Troisi, Cosmological degeneracy versus cosmography: a cosmographic dark energy model, in arXiv[1]:In this work we use cosmography to alleviate the degeneracy among cosmological models, proposing a way to parameterize matter and dark energy in terms of cosmokinematics quantities."
cosmology,"The study of the physical universe, its structure, dynamics, origin and evolution, and fate"
craniology,The study of the physical characteristics of the human skull.
craniometrics,The science of craniometry
creolistics,The branch of linguistics concerned with the study of creole languages and literatures.
criminology,"The study of crime and criminals, especially their behaviour."
criteriology,The study of the validity of reasoning and the criteria necessary to achieve knowledge
crustaceology,The branch of zoology dealing with crustaceans.
cryobiology,the study of the effects of low temperature on living organisms
cryoenzymology,The study of enzymology at subzero temperatures.
cryology,The study of snow and ice.
cryology,The science of refrigeration.
cryptanalysis,The science of analyzing and breaking of codes and ciphers.
crystallochemistry,The study of the chemical structure of crystals.
crystallography,The study of crystals.
cyberlinguistics,The study of language use on computer systems such as the Internet.
cyclotomics,The branch of mathematics concerned with the complex roots of unity; cyclotomy.
cymatics,The study of visible effects of sound and vibration
cynology,The study of dogs
cytogenetics,The branch of genetics that studies the relationships between the structure and number of chromosomes as seen in isolated cells and variation in genotype and phenotype
cytokinetics,The study of cytokinesis
cytology,The study of cells.
cytomics,The study of cytomes
cytomorphology,The study of the structure of cells.
cytopathology,The branch of pathology that deals with abnormalities of cells.
Boolean algebra,"The study of such algebras; Boolean logic, classical logic."
Buddhology,The study of the Buddha or Buddhahood.
kabbalism,the study of the Kabbalah
kalology,The study of beauty; aesthetics
karyology,"The study of the nuclei of cells, especially with regard to the chromosomes which they contain."
keratoprosthetics,The science of keratoprosthesis.
killology,The study of the psychological and physiological effects of killing and combat on the human psyche.
kinematics,"The branch of mechanics concerned with objects in motion, but not with the forces involved."
kinemics,The study of gestures as body language
kineplastics,"The branch of surgery that deals with kineplastic amputation, in which the muscles of the stump are arranged to support voluntary control of a specially designed prosthesis"
kinesiology,The study of body movement.
kinetics,"The branch of mechanics concerned with motion of objects, as well as the reason i.e"
kinetics,The branch of chemistry that is concerned with the rates of chemical reactions.
kinodynamics,The science of kinodynamic problems
kinology,The branch of physics that deals with the laws of motion.
kinomics,The study of the kinome
kleptography,The study of stealing information securely and subliminally.
koniology,"the study of dust, pollen and other airborne particles."
kronoseismology,The study of the propagation of pressure waves in Saturn
kymatology,The study of wave motion.
Coptology,The study of the Copts.
Tangutology,"The study of the Tangut people, culture, and language."
Thracology,The study of Ancient Thrace and its culture and antiquities.
Tibetology,The study of Tibet and its history and culture
Tintinology,"The study of The Adventures of Tintin, especially in an academic context."
Tungusology,The study of the Tungusic languages
Vaticanology,"the study of the politics, decisions and functioning of the Vatican"
Americanology,The study of the Americas
Assyriology,The study of the ancient Assyrian language and culture.
sarcology,The study of the soft parts of the body
satanology,The study of the devil
saurology,The study of lizards.
scheme theory,The branch of mathematics that concerns schemes (algebraic varieties equipped with the Zariski topology)
sclerochronology,"The study of physical and chemical variations in the accretionary hard tissues of organisms, and the temporal context in which they are formed."
scotobiology,"The study of the effects of darkness on living organisms, and on biological processes."
scrog,"The branch of a tree, especially one used as a blazon in Scotland."
secretomics,The study of secretomes
sedimentology,The study of natural sediments and of the processes by which they are formed
seismography,"The study of these records, seismology."
seismology,"The study of the vibration of the Earth's interior caused by natural and unnatural sources, such as earthquakes."
selenodesy,"The science of studying and mapping the Moon's size, shape and surface topography, and its gravitational and magnetic fields."
semantics,The study of the relationship between words and their meanings
sematology,"The science of signs, particularly of verbal signs, in the operation of thinking and reasoning; the science of language as expressed by signs."
sememics,The study of sememes.
semiochemistry,The branch of chemistry dealing with semiochemicals.
semiotics,"The study of signs and symbols, especially as means of language or communication."
senology,The branch of medicine that deals with disorders of the breast.
sentics,"The study of waveforms of touch, emotion, and music"
seroepizootiology,The study of the dynamics and epidemiology of animal diseases of the blood
serovirology,The study of viruses in the blood
sexology,"The study of sex and sexuality, usually from a psychological or clinical perspective."
sexuality studies,"The study of sexuality, including sexual cultures, sexual orientations, etc."
sialobiology,The study of the biochemistry and function of sialic acid and its compounds
sialoglycoproteomics,The study of sialoglycoproteomes
sialoproteomics,The study of sialoproteomes
siegecraft,The science of besieging; warcraft of sieges
sigillography,"The study of seals, especially those attached to documents."
silvics,The science of trees and their habitat.
sindonology,The study of the Shroud of Turin from a believing perspective
sinology,"The study of the history, language and culture of China; Chinese studies."
sitology,The science of food and nutrition.
skeletology,The branch of anatomy that deals with the skeleton.
social dynamics,The study of interactions within and between societies.
social informatics,The study of information and communication tools in cultural or institutional contexts.
social marginality,The study of the larger world and the place of human society within it.
social psychology,The study of how people and groups interact.
social studies,"The study of history, geography, civics, sociology, economics, and other social-science subjects, especially in primary and secondary school."
sociochemistry,The study of the effects of chemical compounds (pheromones) on social behaviour
socioeconomics,The branch of economics that deals with social aspects.
sociogenomics,The study of the effect of the gene pool of a society on its behaviour.
sociogeny,The science of the origin of society.
sociography,The branch of sociology that concentrates on the descriptive analysis of social phenomena.
sociolinguistics,The study of social and cultural effects on language and vice-versa
sociology,"The study of society, human social interaction and the rules and processes that bind and separate people not only as individuals, but as members of associations, groups and institutions"
sociomateriality,The study of the interlinked social and material aspects of the use of technology in the workplace.
sociomicrobiology,The study of microbial society
sociopathology,The study of sociopaths
sociophysics,The study of social and political behavior using tools and concepts from physics and physical chemistry.
sociopsychology,The study of social psychology.
soil chemistry,"The branch of soil science that deals with the chemical properties, constituents and reactions within soils."
solitonics,The study of solitons.
somatology,The study of the physical nature of human beings.
somatotypology,The study of somatotypes.
space medicine,The branch of medicine that deals with the effects of space travel on human beings
spectrology,The science of spectrum analysis.
sphagnology,The study of sphagnum mosses.
sphingolipidomics,"The study of the sphingolipidome of an organism or cell 2007, Jean-Louis Vincent, Intensive Care Medicine: Annual Update 2007, page 262:In fact, the methods of sphingolipidomics also facilitate the determination of isotype specific effects, such as the induction of mitochondrial apoptosis exclusively by C16:0 ceramide"
sphragistics,"The study of seals, especially those attached to documents."
sphygmology,The study of the pulse
splenology,The study of the spleen.
spongology,The study of sponges
sports medicine,"The branch of medicine that deals with the effects of sport and exercise on the body, especially the treatment of injuries so received, and also studies the physiology of exercise"
stabilometry,The study of postural equilibrium
stabilometry,The study of the mechanical properties of soil
statics,The branch of mechanics concerned with forces in static equilibrium
statistical mechanics,The branch of physics that uses statistical laws to make theoretical predictions about macroscopic systems of particles.
statistical semantics,"The study of estimation of the meanings of words by looking at patterns of words in huge collections of texts, using statistical methods."
stemma,"In the study of stemmatics, a diagram showing the relationship of a text to its manuscripts"
stemmatics,The study of multiple surviving versions of the same text with the aim of reconstructing a lost original
stereochemistry,"the branch of chemistry that involves the spatial arrangement of the atoms of molecules, and studies how this affects the physical and chemical properties of such species"
stereoelectronics,The study of the relationship between the electronic structure of molecules and their geometry
stereometrics,The science of stereometry
steroidomics,The study of the steroidome of an organism or cell
stochastics,The branch of statistics that deals with stochastic systems
stomatology,The study of the mouth and its disorders and diseases.
storiology,The study of folk tales.
strabismology,The study of strabismus and related conditions.
stratigraphy,The study of rock layers and the layering process (stratification)
stroketomics,The study of all aspects of strokes
structural anthropology,"The study of social structures in human communities; the study of human society according to the theories of structuralism, especially associated with French anthropologist Claude Lvi-Strauss"
stylistics,"The study of literary style, and how it changes within different contexts."
subatomics,The study of physics at a subatomic level.
suicidology,The study of the causes and related effects of people intentionally killing themselves.
suncare,The branch of skincare dealing with protection against the effects of sunlight.
supersonics,The study of supersonic motion
surveying,The science of accurately determining the position of points and the distances between them.
symbiology,The study of symbiosis.
symbolics,The study of ancient symbols.
symptomatics,The study of symptoms
synantherology,The study of the Asteraceae.
syndesmology,The branch of anatomy that deals with ligaments.
syndromics,The study of syndromes
synonymy,The study of synonyms
synoptic climatology,The science of describing an entire weather situation at a specific location
syntax,"The study of the structure of phrases, sentences and language."
systematics,The study of classification systems and nomenclature
systems biology,"The study of the self-organizing behaviour of complex, dynamic non-biological systems"
fairyology,The study of fairies
femtochemistry,"The study of chemical reactions on a very short time scale, often using pulsed lasers."
femtoscopy,The study of reactions and other processes on a femtosecond basis.
ferroics,"The study of ferromagnetism, ferroelectricity, ferroelasticity and ferrotoroidicity"
ferrokinetics,"The study of the kinetics of iron metabolism, typically by using a radioactive iron isotope"
ferromics,The study of ferromes
field theory,The branch of mathematics dealing with the algebraic structure of fields.
finance,The science of management of money and other assets.
finite geometry,The branch of geometry that concerns geometric systems with only a finite number of points
flamencology,The study of flamenco.
flatology,The study of flatulence.
fluid mechanics,"The branch of mechanics dealing with gases and liquids, either at rest or in motion."
fluidics,The branch of engineering and technology that is concerned with the construction of devices that use the flow and pressure of a fluid in circuits analogous to electronic ones
fluxomics,The study of the flow of fluid and molecules within cells
foraminiferology,"The study of the Foraminifera, especially in paleontology."
forensics,the study of formal debate; rhetoric
forestry,The science of planting and growing trees in forests.
formal semantics,"The study of the semantics, or interpretations, of formal languages."
fossilology,The study of fossils.
fractional calculus,The study of fractional differentiation.
fractography,The study of fracture surfaces of materials.
fromology,The study of cheese.
fruticulture,The branch of agriculture that deals with the growing of fruit.
functional analysis,"The branch of mathematics dealing with infinite-dimensional vector spaces, whose elements are actually functions, as well as generalizations such as Banach spaces and Hilbert spaces."
fungology,The study of fungi; mycology.
Dacology,The study of Ancient Dacia and its culture and antiquities.
Semitics,"The study of the Semitic languages, cultures and peoples."
Shi'a,"The branch of Islam that believes that Ali succeeded Muhammad as leader, and that places emphasis on the prophet's family"
Sumerology,The study of the ancient Sumerian civilisation.
macrobiology,The study of large living organisms.
macroecology,The study of spatially large ecosystems
macroeconomics,"The study of the entire economy in terms of the total amount of goods and services produced, total income earned, the level of employment of productive resources, and the general behavior of prices."
macrometeorology,"The study of the large-scale behaviour of the atmosphere 2013, William R"
macrophysics,The branch of physics that deals with those phenomena that can be directly observed.
magicology,The study of magic
magnetics,The science of magnetism.
magnetoacoustics,The study of acoustic-type magnetic waves
magnetochemistry,The branch of chemistry that studies the effect of a magnetic field on atomic or molecular structures.
magnetoelectrics,The study of magnetoelectricity
magnetoferroelectrics,The study of magnetoferroelectricity
magnetohydrodynamics,the study of the interaction of electrically conducting fluids with magnetic fields; as in the Earth's core
magnetohydrodynamics,the study of the interaction of water with magnetic fields and its application
magnetology,The study of magnets and magnetic forces.
magnetomechanics,The branch of physics dealing with the mutual interaction of the strain and magnetization of materials.
magnetooptics,the branch of physics which deals with the influence of a magnetic field on optical phenomena
magnetostatics,The study of static magnetic fields.
magnonics,the study of magnons
malacology,The study of molluscs
mammalogy,The study of mammals.
marcophily,The branch of philately concerned with the study of postmarks.
marine biology,The branch of biology dealing with organisms that live in the sea.
mastology,The study of breasts
mastology,The study of mammals
materia medica,"The study of the origin, preparation, dosage and administration of medical drugs"
material logic,The branch of logic that focuses on the content of reasoning.
materials science,"The study of materials; their internal structures, properties and modes of failure."
materiomics,The study of the properties of materials at all scales
mathematical statistics,"The study of statistics from a purely mathematical standpoint, using probability theory, measure theory, linear algebra and analysis."
mathesis,The science of establishing a systematic order for things
mathetics,The study of learning.
matristics,The study of women who were involved in the early Christian church.
mechanics,The branch of physics that deals with the action of forces on material objects with mass
mechanized cavalry,"The branch of the modern military that is transported by light fast vehicles (including jeeps and helicopters), now serving the function historically provided by a horse cavalry."
mechanobiology,The study of the mechanics (physical forces and interactions) of biological systems
mechanology,The study of machines or mechanics.
medical ethics,The branch of ethics that examines questions of moral right and wrong arising in the context of the practice of medicine.
medicine,"The study of the cause, diagnosis, prognosis and treatment of disease or illness."
medievalism,The study of the Middle Ages.
