term,definition
diplomatics,"The science of authenticating, dating, and interpreting old official documents."
dipsology,The study of the thirst for alcoholic beverages.[1]
divinity,The study of religion or religions
documentology,The study of the recording and retrieval of information.
documentology,The study of historical documents and data.
dogmatology,The science of dogma.
dolorology,The study of pain.
dracology,The study of the mythology surrounding dragons.
dragonology,The study of dragons
drumology,"The study of the use of drums for communication, as in Africa."
dynamics,The branch of mechanics that is concerned with the effects of forces on the motion of objects.
dysmorphology,"The study of genetic defects, especially congenital malformations"
dysteleology,The study of apparently functionless rudimentary organs in animals and plants.
quantum acoustics,the study of the effects of the laws of quantum mechanics on the propagation and absorption of sound
quantum electrodynamics,the study of the interaction of electromagnetic radiation with electrically charged matter within the framework of relativity and quantum mechanics
quantum gravitation,The study of quantum fields in curved spacetime.
quantum mechanics,"The branch of physics which studies matter and energy at the level of atoms and other elementary particles, and substitutes probabilistic mechanisms in place of classical Newtonian ones."
quellenforschung,"The study of the sources of, or influences upon, a literary work."
queueing theory,"The study of the behaviour of queues, and of stochastic processes modelled on them."
quinary sector,"The branch of a country's economy where high-level decisions are made by top-level executives in government, industry, education, etc."
quinology,The science of the cultivation of cinchona and its use in medicine as quinine.
zenography,The study of the planet Jupiter.
zooarchaeology,The study of animal remains at archaeological sites.
zooecology,The branch of ecology that deals with the relationships of animals with their environments
zoonosology,The study of animal disease
zoopsychology,The study of psychology in animals.
zoosemiotics,The study of animal communication.
zootoxicology,The study of zootoxins.
zygology,The science of fastening things together
zymology,The science of or knowledge concerning fermentation.
zythology,the study of beer and beer-brewing Synonym: beer lore
occultism,The study of the supernatural
oculesics,The study of eye contact as a form of body language.
odonatology,The study of dragonflies and often damselflies.
odontology,The study of the structure and development of teeth
odontology,The branch of dentistry dealing with abnormalities of teeth
oleochemistry,The branch of chemistry that deals with oleochemicals.
olfactics,The study of smells and how they are perceived.
oncodiabetology,The study of the relationship between cancer and diabetes
oncogenetics,The study of the genetic origin of cancers
oncogenics,The study of the formation of tumours
oncogenomics,The study of the relationship between the genome of an individual and cancer
oncogeriatrics,The branch of geriatrics dealing with cancer in elderly patients
oncology,"The branch of medicine concerned with tumors, including study of their development, diagnosis, treatment, and prevention."
oneirology,The study of dreams and their interpretation.
onomastics,"The branch of lexicology devoted to the study of names and naming, especially the origins of names."
onomatology,The study of the origins of names; onomastics.
ontology,The branch of metaphysics that addresses the nature or essential characteristics of being and of things that exist; the study of being qua being
onychology,the study of fingernails and toenails
onychopathology,The study of diseases of the nails.
oology,The study of birds' eggs
operational calculus,The study of calculus from the perspective of the theory of operators.
ophiology,"The study of snakes, a branch of herpetology."
optoelectronics,"The branch of physics that deals with the interaction of light with electronic devices, or the production of light from such devices"
optofluidics,"The science of optical devices incorporating fluids, especially such microfluidic devices"
optomagnonics,"The study of optical magnons 2015, J"
orchidology,The study of orchids.
organology,The study of the organs of plants and animals.
organology,"The study of musical instruments in relation to history, culture, and construction."
ornithichnology,The branch of science that deals with ornithichnites
ornithogeography,The study of the geological distribution of birds.
ornithology,The branch of zoology that deals with the scientific study of birds
orthography,The study of correct spelling according to established usage.
orthopedia,The branch of medicine which deals with the prevention and correction of deformities in bodies; orthopedics.
orthopedics,The branch of medicine that deals with the prevention or correction of disorders of the bones and associated muscles and joints
orthotypography,The study of correct typography according to established usage.
oryctics,The branch of geology relating to fossils.
osteohistology,"The study of the microscopic structure, chemical composition and function of bone"
osteoimmunology,"The study of the relationships between the skeletal and the immune systems 2015 July 1, Asami Suzuki et al., Development of an Ontology for Periodontitis, in Journal of Biomedical Semantics[1], volume 6, DOI:10.1186/s13326-015-0028-y:Several studies relating periodontitis to osteoimmunology have recently been reported [ 33, 34 ]."
osteopathy,The branch of therapy based on manipulation of bones and muscles.
otiatrics,The study of diseases of the ear and their treatment.
otolaryngology,"The study of diseases of the ear, nose and throat."
otology,"The branch of medicine that deals with the ear, its structure, function and pathology."
otoneurology,The study of neurological aspects of hearing and the ear.
otopathology,The study of diseases of the ear
otorhinology,The study of (diseases of) the ear and nose
weather forecasting,The science of using meteorology to predict future weather.
bacchanology,"The study of drinking and its preparations, and history"
ballistics,"The science of objects that predominantly fly under the effects of gravity, momentum and atmospheric drag, and dealing with details of their behaviour at the origin and destination of their flight, as of bullets or missiles or rockets."
ballistocardiography,The science of the preparation and diagnostic interpretation of ballistocardiograms.
balneology,"The study of baths and bathing, especially therapeutic bathing."
bariatrics,The branch of medicine dealing with obesity and weight problems.
barodynamics,The science of the support and mechanics of bridges.
batrachology,The study of amphibians
behavioristics,The study of the behavior of an organism in relation to its environment
behaviouralism,The branch of philosophy concerned with objective behaviour
berestology,the study of birchbark manuscripts
bibliography,"The study of the history of books in terms of their classification, printing and publication."
biblioinformatics,The study of statistics relating to published scientific papers
bibliology,The study of the history of books and the art of printing.
