Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology
3580,nativity,Noun,Someone's birth considered as a means of astrology; a horoscope associated with a person's birth, astrology,"[from 14th c.] 1616, Christopher Marlowe, Doctor Faustus, Scene 19, edited by Israel Gollancz, London: J.M. Dent, 1897, p. 92,[6] You stars that reignd at my nativity, Whose influence hath allotted death and hell, Now draw up Faustus, like a foggy mist, Into the entrails of yon labring clouds, That, when you vomit forth into the air, My limbs may issue from your smoky mouths, So that my soul may but ascend to heaven! 1722, Daniel Defoe, A Journal of the Plague Year, London: E. Nutt, J. Roberts, A. Dodd J. Graves, p. 32,[7] One Mischief always introduces another: These Terrors and Apprehensions of the People, led them into a Thousand weak, foolish, and wicked Things, which, they wanted not a Sort of People really wicked, to encourage them to; and this was running about to Fortune tellers, Cunning men, and Astrologers, to know their Fortune, or, as tis vulgarly expressd, to have their Fortunes told them, their Nativities calculated, and the like [] 1792, Mary Wollstonecraft, A Vindication of the Rights of Woman, Chapter 13, Section 1,[8] In this metropolis a number of lurking leeches infamously gain a subsistence by practising on the credulity of women, pretending to cast nativities, to use the technical phrase; and many females who, proud of their rank and fortune, look down on the vulgar with sovereign contempt, show by this credulity, that the distinction is arbitrary, and that they have not sufficiently cultivated their minds to rise above vulgar prejudices. 1815, Walter Scott, Guy Mannering or The Astrologer, Volume I, Chapter 3,[9] [] my good old tutor [] instilled into me enough of knowledge for erecting a scheme of nativity, and therefore will I presently go about it. 1971, Keith Thomas, Religion and the Decline of Magic, Folio Society 2012, p. 313: Accordingly [] he was careful, as befitted a Fellow of the Royal Society, to note the exact nativity of his subjects whenever it could be discovered; in this way he hoped to make possible a scientific comparison of the course of human life with the astrological circumstances of its inception, and thus to arrive at a more exact astrology.",False,False,False,False,False,False,False,True
4077,navamsa,Noun,"In Vedic astrology, a ninth part or division of a zodiac sign.", astrology,,False,False,False,False,False,False,False,True
1399,Leonian,Adjective,"Of, or pertaining to, the Leo star sign.", astrology,,False,False,False,False,False,False,False,True
1594,Libran,Adjective,"Of, or pertaining to, the Libra star sign.", astrology,,False,False,False,False,False,False,False,True
5594,vertex,Noun,The point where the prime vertical meets the ecliptic in the western hemisphere of a natal chart., astrology,,False,False,False,False,False,False,False,True
5926,vespertine,Adjective,That sets after the sun," astrology, of a planet or star","1822, Claudius Ptolemy, J. M. Ashmand (translator), Tetrabiblos, 2002, page 44, But, owing to the vespertine configuration of Jupiter and Mars, as well as the masculine condition of the anterior parts of the triplicity, and the feminine condition of its latter parts, the said nations regard women with scorn and indifference. 2004, Jean-Baptiste Morin, Anthony Louis LaBruzza (translator), Astrologia Gallica, Book 18, page 56, Finally, he[Ptolemy] says that the vespertine or second stations of the planets, especially those posited in the I.C. [4th House], and in the case of Mercury and Venus, when they are vespertine in day charts but matutine in night charts, signify temperaments that are ingenious, capable of hard work, and able to discern arcane matters, such as are seen in the nativities of magicians, prestidigitators, dream interpreters, and so on.",False,False,False,False,False,False,False,True
849,Oriental,Adjective,Pertaining to the eastern part of the sky; happening before sunrise," astronomy, astrology",[from 14th c.],False,False,False,False,False,False,False,True
7935,carbon-ferrous,Adjective,"Pertaining to a type of asteroid, meteor, or comet, that contains mainly the carbon element and iron.", astrology,,False,False,False,False,False,False,False,True
14952,cazimi,Noun,The position of the center of the sun in the sky., astrology,,False,False,False,False,False,False,False,True
15415,celestial body,Noun,"A natural object which is located outside of Earth's atmosphere, such as the Moon, the Sun, an asteroid, planet, or star."," astronomy, astrology",,False,False,False,False,False,False,False,True
