Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish
17858,woof-woof,Noun,A dog., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53,baa-lamb,Noun,A lamb or sheep., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
580,babymaker,Noun,The penis, childish,"2010, Scott Nicholson, Kiss Me or Die Sally went on, smug with the knowledge of grown-up secrets. ""And women have muff pies. That's where the man puts his babymaker and then seeds crawl out of his babymaker into the pie and then little babies grow. []",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2017,backsies,Noun,"The act of taking back or going back on one's word, promise, or gift", childish,"1987, Carolyn W. Field, Jaqueline Shachter Weiss, Values in selected children's books of fiction and fantasy Frances is the loser when she agrees to no ""backsies"" or refunds as she buys Thelma's plastic tea dishes with money saved for a china set. 2008 March 25, Harvey Araton, For President, Knicks Could Look Nearby, in New York Times[1]:Not one to gloat, Thorn did sound amused Monday when asked if he had broken the news to the Mavericks owner, Mark Cuban: no backsies. 2011, Jenna Katerin Moran, Nobilis: The Essentials, Volume 1, page 11:Then you will be in trouble because it will kill you to have it taken out again but it will betray your deepest inner truth to tell them No Backsies.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018,backsies,Noun,"A reciprocal action or consequence, such as immediately tagging the player who has tagged one in a game of tag.", childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5388,bananery,Adjective,"Of, or relating to bananas, or their flavour.", childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13478,beddy,Noun,"bed 1989, Martin Barker, Comics: ideology, power, and the critics, page 87:On to the back page, and Walter is walking the fields after school, clutching his teddy: 'I've made up another poem", childish,"Perhaps I'll be poet laureate one day!': Oh, sweet and cuddly darling Teddy, You keep me cosy in my beddy.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13479,beddy-bye,Noun,"Bedtime for a toddler, going to sleep, going to bed."," idiomatic, baby-talk, childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21972,big school,Noun,secondary school," Britain, childish","1982, Hunter Davies, Flossie Teacake's Fur Coat ""Big School is more fun than Primary School,"" said Flossie to her mother as they both sat at the kitchen table, eating their lunch together. ""Isn't it, Mum?""",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34750,boatie,Noun,A boat," childish, or endearing","Henry van Dyke, For the Fisherman's Child Furl your sail, my little boatie;Here's the harbor, still and deep,Where the dreaming tides, in-streaming,Up the channel creep.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
36714,bombsies,Noun,"In children's games of marbles, the mode of play where one player attempts to drop a marble from above in order to hit a marble on the ground.", childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
37406,boo-boo,Noun,A mistake or error.," countable, colloquial, often childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
37407,boo-boo,Noun,"A minor injury, such as a cut or a bruise."," countable, colloquial, childish, by or to young children",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
37408,boo-boo,Noun,Feces.," uncountable, colloquial, childish, by or to young children",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
37409,boo-boo,Verb,To defecate.," colloquial, childish, by or to young children",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40984,bow wow,Noun,A dog, childish,Look at the cute little bow wow.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
48794,bubba,Noun,Brother; used as term of familiar address," Southern US, childish","2007, Caitlin R. Kiernan, Low Red Moon, page 27:""Hey, bubba, is that really you? Goddamn. I haven't heard from you in a coon's age."" / ""Don't 'hey, bubba' me, you sonofabitch.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
51997,bunny rabbit,Noun,A bunny; a rabbit., childish or affectionate,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
52009,bunny wunny,Noun,A bunny; a rabbit.," Britain, childish or affectionate",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
55358,bye-bye,Noun,A goodbye.," colloquial, often childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
55359,bye-bye,Noun,"Bedtime for a toddler, going to sleep, going to bed"," colloquial, often childish","Brush your teeth, it's time to go bye-bye.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2582,halfsies,Noun,The condition of splitting something in half in order to share it, childish,"2008 May 28, Maureen Dowd, Can He Take a Frisk?, in New York Times[1]:Since shes almost even with the delegates, shell want to go halfsies in the government.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4613,handsies,Noun,hands, childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11905,helichopper,Noun,"helicopter 2002, Patricia Daniels Cornwell, Isle of Dogs ""I yelled up at all them helichoppers."" 2008, Kelly McKain, Fairy for a Day ""Is it really true what you said about flying to school?"" ""Uh, yes, because, uh "," childish, nonstandard",". ."" Bluebell paused to think of a human-sounding answer, as Katie had taught her. ""Because my dad's very rich; he's got a helichopper,"" she finished.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19837,hippity-hop,Adjective,"Moving by hopping, having an uneven gait", childish,"1987, G. Bennett, Birdfinding in Canada[1], page 21:There must be hundreds of them killed every summer day - and, it's no wonder when one observes the erratic, hippity-hop way they try to cross the road.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
