0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0,abbreviation,abbreviation_for_term,acronym,acronym_for_term,antonym,antonym_for_term,astrology,attribute,attributive_form,attributive_form_for_term,body,childish,colloquial,dated,definition,disease,domain,domain2,euphemistic,field,folklore,humorous,informal,jargon,literary,literature,main_noun_maria,main_noun_nltk,matter,measure,misspelling,misspelling_for_term,mythology,nonstandard,obsolete,offensive,plural,plural_for_term,pos,process,property,rare,role,slang,slur,supplementary_info,synonym,synonym_for_term,term,theology,units,vulgar
group,,,,,,,,,,,,,,,,,,27501,False,,False,,False,,False,False,False,,False,False,False,False,A bifunctional group which has connections to two oxygen atoms that are both connected to the central carbon of propane.,False," organic chemistry, in combination",False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,isopropylidenedioxy,False,False,False
family,,,,,,,,,,,,,,,,,,27517,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of closely-related proteins that have similar structural and functional properties,False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,isoprotein,False,False,False
group,,,,,,,,,,,,,,,,,,27629,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of flavonolignans found in coffee and the milk thistle,False, organic chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,isosilybin,False,False,False
group,,,,,,,,,,,,,,,,,,27671,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of molecules or ions that have the same number of atoms and the same number of valence electrons.,False, chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,isostere,False,False,False
group,,,,,,,,,,,,,,,,,,27821,False,,False,,False,,False,False,False,,False,False,False,False,"Any of a group of compounds differing in the number, and/or position of substitution, of atoms by isotopes.",False, chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,isotopolog,False,False,False
group,,,,,,,,,,,,,,,,,,27825,False,,False,,False,,False,False,False,,False,False,False,False,any of a group of compounds only differing in their isotopic composition; for example water and heavy water,False, chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,isotopologue,False,False,False
family,,,,,,,,,,,,,,,,,,456,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of steroid acids derived from sterols by oxidation with a cytochrome,False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dafachronic acid,False,False,False
group,,,,,,,,,,,,,,,,,,921,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of benzofluoranthene metabolites of Annulohypoxylon fungi,False, organic chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,daldinone,False,False,False
family,,,,,,,,,,,,,,,,,,1893,False,,False,,False,,False,False,False,,False,False,False,False,"Any of a family of diterpenes, isolated from Daphne genkwa, some of which induce apoptosis",False, organic chemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,daphnane,False,False,False
polyprenyl,group,,,,,,,,,,,,,,,,,6417,False,,False,,False,,False,False,False,,False,False,False,False,A polyprenyl group formed from ten isoprenyl moieties,False," organic chemistry, in combination",False,False,False,False,False,False,False,False,False,,polyprenyl group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,decaprenyl,False,False,False
